base_origem,qru_corrida,orgao_nome,orgao_codigo_siorg,orgao_categoria,unidade_administrativa_nome,unidade_administrativa_codigo_siorg,status,motivo,justificativa,km_total,km_rota_calculada,valor_corrida,data_abertura,data_despacho,data_local_embarque,data_inicio,data_final,data_cancelamento,origem_endereco,origem_bairro,origem_cidade,origem_uf,destino_solicitado_endereco,destino_efetivo_endereco,origem_latitude,origem_longitude,destino_solicitado_latitude,destino_solicitado_longitude,destino_efetivo_latitude,destino_efetivo_longitude,avaliacao_usuario_nota,avaliacao_usuario_texto,veiculo_fabricante,veiculo_modelo,veiculo_ano_fabricacao,veiculo_ano_modelo,veiculo_cor,veiculo_placa,ateste_setorial_data,conteste_info,corrida_longa,mes_abertura,origem_cidade_upper
TAXIGOV_DF_3,1361339,Ministério da Justiça e Segurança Pública,235881,DIRETA,SAA/SE/MJSP,,CONCLUÍDA,Serviço externo / técnico,,13.13,13.669,50.94,2024-07-11 10:25:41.490,2024-07-11 10:25:51.767,2024-07-11 10:28:13.537,2024-07-11 10:28:27.360,2024-07-11 10:58:48.893,,PALACIO DA JUSTICA - MINISTERIO DA JUSTICA E SEGURANCA PUBLICA,PA 2,BRASILIA,DF,"CICCN - Centro Integrado de Comando e Controle Nacional, Brasilia, Distrito Federal","CICCN - Centro Integrado de Comando e Controle Nacional, Brasilia, Distrito Federal",-15.79669,-47.86591,-15.81449,-47.94658,-15.81505,-47.94659,,,,,2023.0,2024.0,,SGY-**87,,,Sim,11,BRASILIA
TAXIGOV_DF_3,1361324,Ministério da Saúde,304,DIRETA,GM/MS,,CONCLUÍDA,Reunião,,5.1,5.306,19.79,2024-07-11 10:21:01.273,2024-07-11 10:21:11.497,2024-07-11 10:23:37.923,2024-07-11 10:24:22.197,2024-07-11 10:31:44.260,,"ESPLANADA DOS MINISTERIOS, BL. G",BRASILIA,BRASILIA,DF,"Tribunal de Contas da Uniao - Instituto Serzedello Correa, Brasilia, DF","Tribunal de Contas da Uniao - Instituto Serzedello Correa, Brasilia, DF",-15.80055,-47.86855,-15.8066,-47.84297,-15.80614,-47.84311,,,,,2018.0,2019.0,,PBO-**89,,,Não,11,BRASILIA
TAXIGOV_DF_3,1361317,Presidência da República,26,DIRETA,DGES/GSI/PR,,CONCLUÍDA,Transporte de documentos / materiais,,10.93,7.816,42.41,2024-07-11 10:16:19.637,2024-07-11 10:16:28.660,2024-07-11 10:18:07.383,2024-07-11 10:19:14.007,2024-07-11 10:37:42.250,,"ANEXO II DO ITAMARATY (BOLO DE NOIVA), VIA S2",ASA SUL,BRASILIA,DF,"Comando Militar do Planalto / Comando da 11 RM, Brasilia, Distrito Federal","Comando Militar do Planalto / Comando da 11 RM, Brasilia, Distrito Federal",-15.80205,-47.868,-15.7779,-47.91956,-15.77888,-47.91972,,,,,2022.0,2023.0,,SGQ-**66,,,Sim,11,BRASILIA
TAXIGOV_DF_ENTIDADES,1361311,Banco Central do Brasil,89,INDIRETA,DEMAP/INFRA,,CONCLUÍDA,Outros,,15.54,13.149,58.12,2024-07-11 10:13:55.817,2024-07-11 10:14:07.580,2024-07-11 10:14:17.620,2024-07-11 10:18:54.073,2024-07-11 11:19:56.403,,"SIA, RETEC",SIA,BRASILIA,DF,"BANCO CENTRAL, - PA 3","CLS 201, QD 3 BL A, ASA SUL, BRASILIA - DF, 70232-550, BRASIL",-15.7897,-47.96733,-15.80147,-47.88527,-15.80347,-47.88504,,,,GRAND SIENA,2018.0,2019.0,BRANCO,PBM-**24,,,Sim,11,BRASILIA
TAXIGOV_DF_ENTIDADES,1361300,Instituto Chico Mendes de Conservação da Biodiversidade,91842,INDIRETA,GABIN/ICMBIO,,CONCLUÍDA,Reunião,,8.96,10.957,31.81,2024-07-11 10:11:16.277,2024-07-11 10:11:22.907,2024-07-11 10:26:40.367,2024-07-11 10:39:54.240,2024-07-11 10:53:44.680,,"ANEXO ITAMARATY,",PA 1,BRASILIA,DF,"ICMBIO, - SUDOESTE","ICMBIO, - SUDOESTE",-15.81067,-47.87197,-15.80302,-47.92627,-15.80311,-47.92652,,,,SPIN,2023.0,2024.0,BRANCA,SGX-**80,,,Não,11,BRASILIA
TAXIGOV_DF_3,1361298,Presidência da República,26,DIRETA,SE/SG/PR,,CONCLUÍDA,Reunião,,6.54,4.24,25.38,2024-07-11 10:10:48.390,2024-07-11 10:10:59.790,2024-07-11 10:13:49.550,2024-07-11 10:19:36.997,2024-07-11 10:24:57.297,,PALACIO DO PLANALTO,,BRASILIA,DF,"Instituto Serzedello Correa, SCES Trecho 3 Polo 8, 4, Brasilia, Distrito Federal","Instituto Serzedello Correa, SCES Trecho 3 Polo 8, 4, Brasilia, Distrito Federal",-15.79905,-47.86077,-15.80607,-47.84357,-15.80608,-47.84307,,,,,,,,SSK-**03,,,Não,11,BRASILIA
TAXIGOV_DF_3,1361284,Ministério da Saúde,304,DIRETA,DESID,,CONCLUÍDA,Reunião,,7.86,4.767,30.5,2024-07-11 10:03:39.620,2024-07-11 10:04:21.277,2024-07-11 10:08:46.097,2024-07-11 10:09:22.220,2024-07-11 10:19:53.137,,FIOCRUZ BRASÍLIA (FUNDAÇÃO OSWALDO CRUZ - BRASÍLIA),,BRASÍLIA,DF,MINISTÉRIO DA SAÚDE - BLOCO G - BRASÍLIA / DF,MINISTÉRIO DA SAÚDE - BLOCO G - BRASÍLIA / DF,-15.77097,-47.87113,-15.80024,-47.86838,-15.8003,-47.86826,,,,,2020.0,2021.0,,REI-**48,,,Não,11,BRASÍLIA
TAXIGOV_DF_3,1361276,Ministério da Saúde,304,DIRETA,DEMAS,,CONCLUÍDA,Reunião,,13.32,13.324,51.68,2024-07-11 09:58:23.277,2024-07-11 09:58:43.037,2024-07-11 10:00:29.173,2024-07-11 10:00:49.420,2024-07-11 10:21:36.107,,MINISTERIO DA SAUDE - BLOCO G,,BRASILIA,DF,"ANVISA Agencia Nacional de Vigilancia Sanitaria - Sede, Brasilia, DF","ANVISA Agencia Nacional de Vigilancia Sanitaria - Sede, Brasilia, DF",-15.80024,-47.86838,-15.79912,-47.95372,-15.79882,-47.95318,,,,,2021.0,2022.0,,RER-**20,,,Sim,11,BRASILIA
TAXIGOV_DF_ENTIDADES,1361268,Instituto Chico Mendes de Conservação da Biodiversidade,91842,INDIRETA,PFE/ICMBIO,,CONCLUÍDA,Reunião,,8.11,7.563,28.79,2024-07-11 09:56:06.900,2024-07-11 09:56:15.597,2024-07-11 10:06:35.720,2024-07-11 10:09:43.077,2024-07-11 10:25:41.697,,EQSW 103/104,SUDOESTE/OCTOGONAL,CRUZEIRO,DF,"Ministerio da Gestao e da Inovacao em Servicos Publicos - MGI, Brasilia, DF","Ministerio da Gestao e da Inovacao em Servicos Publicos - MGI, Brasilia, DF",-15.80427,-47.92571,-15.79472,-47.87389,-15.79502,-47.87415,,,,VIRTUS,2020.0,2020.0,BRANCA,REF-**05,,,Não,11,CRUZEIRO
TAXIGOV_DF_ENTIDADES,1361260,"Instituto Nacional de Metrologia, Qualidade e Tecnologia",240,INDIRETA,GABIN/INMETRO,,CONCLUÍDA,Reunião,,6.37,1.199,23.57,2024-07-11 09:52:47.887,2024-07-11 09:53:03.133,2024-07-11 09:58:27.400,2024-07-11 09:59:28.100,2024-07-11 10:07:50.790,,HOTEL EM BRASILIA - MULTIPARQUE HPLUS LONG STAY,SETOR SUDOESTE,BRASILIA,DF,"Instituto Nacional de Metrologia, Qualidade e Tecnologia, Brasilia, DF","Instituto Nacional de Metrologia, Qualidade e Tecnologia, Brasilia, DF",-15.79447,-47.91809,-15.79429,-47.9117,-15.79513,-47.91175,,,,CRONOS,2022.0,2022.0,PRATA,REU-**98,,,Não,11,BRASILIA
