base_origem,qru_corrida,orgao_nome,orgao_codigo_siorg,orgao_categoria,unidade_administrativa_nome,unidade_administrativa_codigo_siorg,status,motivo,justificativa,km_total,km_rota_calculada,valor_corrida,data_abertura,data_despacho,data_local_embarque,data_inicio,data_final,data_cancelamento,origem_endereco,origem_bairro,origem_cidade,origem_uf,destino_solicitado_endereco,destino_efetivo_endereco,origem_latitude,origem_longitude,destino_solicitado_latitude,destino_solicitado_longitude,destino_efetivo_latitude,destino_efetivo_longitude,avaliacao_usuario_nota,avaliacao_usuario_texto,veiculo_fabricante,veiculo_modelo,veiculo_ano_fabricacao,veiculo_ano_modelo,veiculo_cor,veiculo_placa,ateste_setorial_data,conteste_info
TAXIGOV_DF_3,1361150,Ministério da Saúde,304,DIRETA,CGSPD/DAET/SAES/MS,,CONCLUÍDA,Reunião,,4.12,4.262,15.99,2024-07-11 09:16:45.513,2024-07-11 09:16:56.043,2024-07-11 09:20:08.693,2024-07-11 09:21:23.973,2024-07-11 09:31:28.710,,PO700 - MINISTERIO DA SAUDE,ASA NORTE,BRASILIA,DF,"Ministerio da Saude - Bloco G, Brasilia, Distrito Federal","Ministerio da Saude - Bloco G, Brasilia, Distrito Federal",-15.78406,-47.89043,-15.80024,-47.86838,-15.80063,-47.8684,,,,,,,,REK-**58,,
TAXIGOV_DF_3,1361149,Ministério do Turismo,72084,DIRETA,CAMP/SPOA/SE,,CONCLUÍDA,Reunião,,4.46,4.08,17.3,2024-07-11 09:16:27.597,2024-07-11 09:16:41.467,2024-07-11 09:20:39.130,2024-07-11 09:21:04.090,2024-07-11 09:32:01.667,,EM BLOCO U,ASA NORTE,BRASILIA,DF,"Condominio Edificio Palacio do Radio II, Asa Sul, Brasilia, DF","SRTVS, ASA SUL, BRASILIA - DF, 70340-000, BRASIL",-15.79671,-47.86787,-15.79824,-47.8931,-15.79824,-47.89459,,,,,2019,2020,,PBR-**94,,
TAXIGOV_DF_3,1361145,Presidência da República,26,DIRETA,SNJ/SG/PR,,CONCLUÍDA,Reunião,,4.09,4.148,15.87,2024-07-11 09:13:55.480,2024-07-11 09:14:04.587,2024-07-11 09:21:02.567,2024-07-11 09:21:12.017,2024-07-11 09:30:40.393,,"BRASILIA - DF, 70833-520, BRASIL",BRASILIA,BRASILIA,DF,"Instituto Serzedello Correa, SCES Trecho 3 Polo 8, 4, Brasilia, DF","Instituto Serzedello Correa, SCES Trecho 3 Polo 8, 4, Brasilia, DF",-15.79967,-47.85905,-15.80607,-47.84357,-15.80609,-47.84325,,,,,2023,2024,,SGW-**18,,
TAXIGOV_DF_3,1361140,Presidência da República,26,DIRETA,SNPS/SG/PR,,CONCLUÍDA,Reunião,,4.34,4.087,16.84,2024-07-11 09:10:18.960,2024-07-11 09:10:26.610,2024-07-11 09:12:49.590,2024-07-11 09:19:32.467,2024-07-11 09:28:04.303,,PALACIO DO PLANALTO,BRASILIA,BRASILIA,DF,"Instituto Serzedello Correa, SCES Trecho 3 Polo 8, 4, Brasilia, DF","Instituto Serzedello Correa, SCES Trecho 3 Polo 8, 4, Brasilia, DF",-15.79955,-47.85918,-15.80607,-47.84357,-15.80613,-47.84361,,,,,,,,REU-**33,,
TAXIGOV_DF_ENTIDADES,1361132,"Agência Nacional do Petróleo, Gás Natural e Biocombustíveis",25281,INDIRETA,EDF/ANP,,CONCLUÍDA,Reunião,,3.0,3.042,11.1,2024-07-11 09:05:32.487,2024-07-11 09:05:49.937,2024-07-11 09:13:45.340,2024-07-11 09:13:53.397,2024-07-11 09:19:16.633,,AGENCIA NACIONAL DE ENERGIA ELETRICA - SEDE,ASA NORTE,BRASILIA,DF,"Ministerio de Minas e Energia - Bloco U, Brasilia, DF","Ministerio de Minas e Energia - Bloco U, Brasilia, DF",-15.77833,-47.87238,-15.79648,-47.86802,-15.79691,-47.86795,,,,VIRTUS,2023,2023,BRANCA,SGT-**86,,
TAXIGOV_DF_3,1361130,Ministério do Desenvolvimento Agrário e Agricultura Familiar,308794,DIRETA,DATER / SAF / MDA,,CONCLUÍDA,Reunião,,2.73,2.941,10.59,2024-07-11 09:03:05.470,2024-07-11 09:03:13.670,2024-07-11 09:09:34.687,2024-07-11 09:10:24.720,2024-07-11 09:19:08.240,,INSTITUTO NACIONAL DE COLONIZACAO E REFORMA AGRARIA - SEDE,ASA NORTE,BRASILIA,DF,"Complexo Brasil 21, Asa Sul, Brasilia, Distrito Federal","VIA S. UM OESTE, EIXO MONUMENTAL, BRASILIA - DF, BRASIL",-15.79089,-47.87956,-15.79367,-47.89317,-15.79227,-47.89454,,,,,2024,2024,,SSH-**27,,
TAXIGOV_DF_3,1361125,Ministério da Justiça e Segurança Pública,235881,DIRETA,COREG/AN,334,CONCLUÍDA,Reunião,,6.21,6.144,24.09,2024-07-11 09:00:42.653,2024-07-11 09:06:30.643,2024-07-11 09:09:20.603,2024-07-11 09:12:28.883,2024-07-11 09:20:41.187,,"ESPLANADA DOS MINISTERIOS, BL. K",EIXO MONUMENTAL,BRASILIA,DF,"Instituto Serzedello Correa, SCES Trecho 3 Polo 8, 4, Brasilia, DF","Instituto Serzedello Correa, SCES Trecho 3 Polo 8, 4, Brasilia, DF",-15.79527,-47.87432,-15.80607,-47.84357,-15.80566,-47.84288,,,,,2021,2022,,REQ-**58,,
TAXIGOV_DF_3,1361117,Ministério da Saúde,304,DIRETA,CGDI/SAA/SE/MS,,CONCLUÍDA,Reunião,,14.7,12.516,57.04,2024-07-11 08:55:33.590,2024-07-11 08:55:41.120,2024-07-11 08:59:39.423,2024-07-11 09:00:41.827,2024-07-11 09:19:37.077,,"EM, 7",ASA SUL,BRASILIA,DF,"Editora - Ministerio da Saude, Brasilia, DF","Editora - Ministerio da Saude, Brasilia, DF",-15.80212,-47.86937,-15.80182,-47.95618,-15.80214,-47.95595,,,,,2021,2022,,REQ-**45,,
TAXIGOV_DF_3,1361112,Ministério da Saúde,304,DIRETA,GAB/SAES,,CONCLUÍDA,Reunião,,4.35,4.637,16.88,2024-07-11 08:53:19.733,2024-07-11 08:53:29.233,2024-07-11 08:57:31.247,2024-07-11 09:01:33.503,2024-07-11 09:12:33.823,,"ESPLANADA DOS MINISTERIOS, BL. G",ASA SUL,BRASILIA,DF,"BL K, Asa Sul, Brasilia, DF","BL K, Asa Sul, Brasilia, DF",-15.80055,-47.86855,-15.80456,-47.88993,-15.80455,-47.88974,,,,,2022,2023,,SGR-**00,,
TAXIGOV_DF_3,1361106,Ministério da Saúde,304,DIRETA,CGSPD/DAET/SAES/MS,,CONCLUÍDA,Reunião,,4.67,4.037,18.12,2024-07-11 08:48:27.770,2024-07-11 08:48:57.600,2024-07-11 08:54:27.967,2024-07-11 08:54:29.193,2024-07-11 09:05:35.670,,"SRTVN, 701",ASA NORTE,BRASILIA,DF,"Ministerio da Ciencia, Tecnologia e Inovacao - MCTI, Brasilia, DF","Ministerio da Ciencia, Tecnologia e Inovacao - MCTI, Brasilia, DF",-15.78407,-47.89045,-15.79986,-47.87005,-15.7998,-47.86986,,,,,2022,2023,,SGQ-**56,,
